id,REGISTRATION_NUMBER,NAME,DEPARTMENT,BATCH,SSLC,HSC,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,CPGA,ARREARS,INTERNSHIPS,CERTIFICATIONS,PATENTSPUBLICATIONS,ACHEIVEMENTS,HOA,LANGUAGE,AOI,EMAIL,ADDRESS,PHONENO,RESUME,PLACEMENT,OFFERS/0/OFFERNO,OFFERS/0/COMPDETAIL,OFFERS/0/PACKAGE,OFFERS/0/DESIGNATION,OFFERS/0/OFFER,OFFERS/1/OFFERNO,OFFERS/1/COMPDETAIL,OFFERS/1/PACKAGE,OFFERS/1/DESIGNATION,OFFERS/1/OFFER
1,211723007001,Tin,AIDS,2023-2027,86%,87%,8,8.2,-,-,-,-,-,-,7,1,Attended,IOT,MECH-design,Top rank in skillrack,0,TAMIL,APP,thancell0@woothemes.com,4042 Brickson Park Parkway,+81 447 531 2297,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,OFFER 2,SAMPLE,10 LPA,BA,OFFER.pdf
2,211723004002,Redhold,CSE,2022-2026,80%,84%,8,8.2,7.2,4.5,-,-,-,-,7.5,2,Attended,Full stack(react),MECH-product,Hackathon,0,JAPANESE,IOT,djewes1@walmart.com,35 Oxford Park,+33 333 909 1103,RESUME.pdf,Not-Placed,OFFER 1,SAMPLE,10 LPA,BA,OFFER.pdf,,,,,
3,211723003003,Cookley,CSBS,2021-2025,84%,80%,8,8.2,7.2,4.5,9,6,,,8,3,Attended,API,ELECTRICAL-design,Symposium,0,JAPANESE,WEB,bflips2@state.gov,57 Maywood Circle,+420 201 544 7112,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
4,211723004004,Redhold,CSE,2020-2024,79%,78%,8,8.2,7.2,4.5,9.5,6,5,8.7,8.5,4,Not_Attended,Data Analyst,MECH-product,Front end development,0,JAPANESE,IOT,dbartomieu3@virginia.edu,3 Pepper Wood Terrace,+389 569 670 6509,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
5,211723007005,Otcom,AIDS,2023-2027,76%,87%,8,8.2,-,-,-,-,-,-,9,5,Not_Attended,IOT,ELECTRICAL-design,Front end development,0,JAPANESE,WEB,bfonquernie4@umn.edu,60137 Riverside Terrace,+58 285 260 3265,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
6,211723003006,Viva,CSBS,2022-2026,73%,75%,8,8.2,7.2,4.5,-,-,-,-,7.5,6,Attended,API,MECH-product,Hackathon,0,JAPANESE,IOT,dashlin5@ebay.co.uk,578 Caliangt Way,+86 316 591 3011,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
7,211723003007,Wrapsafe,CSBS,2021-2025,86%,87%,8,8.2,7.2,4.5,9,6,-,-,7,1,Not_Attended,API,ELECTRICAL-product,Front end development,0,JAPANESE,IOT,kfarherty6@vk.com,7043 Waubesa Road,+86 291 704 3008,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
8,211723007008,Flexy,AIDS,2020-2024,89%,83%,8,8.2,7.2,4.5,9,6,5,8.7,8,2,Attended,Full stack(react),MECH-design,Front end development,0,JAPANESE,WEB,clarby7@multiply.com,65 Dovetail Pass,+686 783 678 6491,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
9,211723004009,It,CSE,2022-2026,68%,80%,8,8.2,7.2,4.5,-,,-,-,9,6,Not_Attended,Data Analyst,ELECTRICAL-design,Symposium,0,JAPANESE,IOT,lheighway8@usda.gov,785 3rd Trail,+505 970 772 8315,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
10,211723001010,Holdlamis,ECE,2023-2027,88%,87%,8,8.2,-,-,-,-,-,,7.5,0,Not_Attended,IOT,ELECTRICAL-product,Hackathon,0,JAPANESE,WEB,fference9@deviantart.com,77 Forest Dale Street,+351 830 576 5447,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
